dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,3014,2546.21,467.45,352.89,0.01,114.13,0.27,0.20,0,269,156588,92
Australian,690,14,2,0.8666,183,95.24,88.88,80.34,0.00,8.49,0.03,0.14,0,56,18745,458
Auto,205,25,6,0.8143,546,403.72,143.13,109.44,0.00,33.66,0.02,0.07,0,168,209009,209
Breast-Cancer,683,9,2,0.9706,21,8.03,13.90,5.11,7.59,1.15,0.02,0.08,0,4,2836,265
Cleve,303,13,2,0.8257,80,35.87,44.79,27.27,16.35,1.14,0.02,0.09,0,32,16274,276
Crx,690,15,2,0.8598,247,139.31,108.06,95.96,0.00,12.05,0.03,0.18,0,53,30762,558
Diabetes,768,8,2,0.7344,12,6.16,6.59,5.21,0.38,0.96,0.02,0.07,0,0,1585,213
German,1000,20,2,0.7290,1060,658.82,401.94,384.71,0.00,17.17,0.05,0.24,0,178,89483,984
Glass,214,9,6,0.6995,6,3.75,3.33,1.44,1.58,0.28,0.01,0.05,0,0,2021,121
Heart,270,13,2,0.8074,66,28.80,37.59,22.63,14.01,0.92,0.01,0.07,0,28,15134,249
Hepatitis,155,19,2,0.8331,107,74.04,33.36,32.36,0.00,0.98,0.01,0.05,0,52,38172,122
Horse,368,22,2,0.8071,598,394.46,204.87,191.22,0.00,13.61,0.03,0.04,0,180,129386,399
Hypo,3163,25,2,0.9795,2645,1478.92,1167.26,1092.68,0.00,74.39,0.17,0.03,1,180,86450,177
Iono,351,34,2,0.9200,1001,802.60,199.52,160.45,0.00,39.02,0.03,0.06,0,195,129736,195
Iris,150,4,3,0.9267,0,0.23,0.12,0.06,0.02,0.03,0.01,0.01,0,0,90,30
Labor,57,16,2,0.9167,58,26.37,32.53,8.85,23.48,0.18,0.01,0.02,0,24,24003,49
Led7,3200,7,10,0.7120,24,17.18,7.68,5.28,0.09,2.18,0.13,0.02,0,4,242,111
Lymphography,148,18,4,0.8344,152,98.44,53.93,51.96,0.00,1.95,0.01,0.02,0,48,65800,149
Pima,768,8,2,0.7344,12,5.97,6.71,5.31,0.39,0.98,0.02,0.02,0,0,1585,213
Sick,2800,29,2,0.9654,2916,2207.34,709.63,592.03,0.00,117.44,0.14,0.02,0,232,85874,146
Sonar,208,60,2,0.7844,2347,2211.44,136.87,109.59,0.00,27.24,0.03,0.02,0,289,160000,134
Tic-Tac-Toe,958,9,2,0.9916,62,38.98,23.64,17.54,4.76,1.29,0.04,0.01,0,24,7047,182
Vehicle,846,18,4,0.6822,404,237.49,166.84,142.38,0.00,24.41,0.04,0.03,0,74,36922,478
Waveform,5000,21,3,0.8164,4318,2679.08,1639.76,1474.24,0.00,165.30,0.22,0.15,6,188,75473,2658
Wine,178,13,3,0.9667,35,24.02,11.95,11.67,0.00,0.26,0.01,0.01,0,24,16933,54
Zoo,101,16,7,0.9652,24,17.68,7.56,6.78,0.00,0.75,0.01,0.01,0,0,13758,35
