dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9822,564,277.26,287.00,67.40,182.74,34.37,2.32,0.21,0,237,156588,159
Australian,690,14,2,0.8681,29,18.91,10.61,5.19,4.26,0.93,0.22,0.13,0,40,18745,456
Auto,205,25,6,0.8143,494,253.60,241.30,65.08,153.82,22.25,0.13,0.07,0,119,209009,208
Breast-Cancer,683,9,2,0.9706,4,3.05,1.55,0.49,0.65,0.21,0.20,0.09,0,0,2836,265
Cleve,303,13,2,0.8257,11,7.37,4.33,2.22,1.79,0.21,0.10,0.07,0,0,16274,276
Crx,690,15,2,0.8612,30,15.99,14.52,6.18,7.06,1.04,0.24,0.15,0,52,30762,557
Diabetes,768,8,2,0.7344,2,2.11,0.79,0.26,0.23,0.07,0.22,0.06,0,0,1585,213
German,1000,20,2,0.7290,120,78.47,42.31,22.38,16.84,2.68,0.39,0.24,0,146,89483,951
Glass,214,9,6,0.6995,2,1.97,0.98,0.39,0.42,0.09,0.08,0.05,0,0,2021,121
Heart,270,13,2,0.8074,11,7.24,4.72,2.64,1.78,0.21,0.08,0.07,0,0,15134,249
Hepatitis,155,19,2,0.8331,40,29.28,11.94,7.11,4.43,0.34,0.06,0.04,0,36,38172,122
Horse,368,22,2,0.8234,150,72.49,78.37,33.36,39.65,5.21,0.14,0.04,0,83,129386,397
Hypo,3163,25,2,0.9795,90,44.88,45.98,25.62,15.16,4.09,1.09,0.03,0,75,86450,176
Iono,351,34,2,0.9257,316,125.17,191.80,40.17,134.08,17.38,0.16,0.03,0,191,129736,196
Iris,150,4,3,0.9267,0,0.15,0.10,0.02,0.03,0.01,0.03,0.01,0,0,90,30
Labor,57,16,2,0.9167,19,14.88,5.22,3.52,1.45,0.22,0.02,0.01,0,0,24003,49
Led7,3200,7,10,0.7120,3,2.51,0.86,0.07,0.07,0.10,0.62,0.01,0,0,242,111
Lymphography,148,18,4,0.8344,71,53.17,19.35,10.17,8.22,0.92,0.04,0.01,0,32,65800,149
Pima,768,8,2,0.7344,2,1.97,0.64,0.26,0.22,0.06,0.10,0.02,0,0,1585,213
Sick,2800,29,2,0.9679,132,79.35,52.96,23.36,23.92,4.77,0.90,0.04,0,179,85874,279
Sonar,208,60,2,0.8080,972,730.30,242.51,42.92,190.87,8.59,0.13,0.02,0,192,160000,172
Tic-Tac-Toe,958,9,2,0.9916,9,7.37,2.72,1.47,0.85,0.24,0.16,0.01,0,0,7047,182
Vehicle,846,18,4,0.6822,54,25.67,29.18,8.72,17.38,2.88,0.20,0.03,0,57,36922,477
Waveform,5000,21,3,0.8162,904,760.31,144.32,36.58,95.29,11.02,1.41,0.12,6,356,75473,2650
Wine,178,13,3,0.9667,20,12.63,8.31,2.94,5.16,0.17,0.04,0.01,0,0,16933,54
Zoo,101,16,7,0.9652,18,11.19,7.62,2.52,4.41,0.66,0.02,0.01,0,0,13758,35
