dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9822,647,336.14,310.49,67.79,198.56,41.29,2.66,0.23,0,197,156588,159
Australian,690,14,2,0.8681,46,30.57,16.36,7.40,5.81,2.63,0.26,0.14,0,56,18745,456
Auto,205,25,6,0.8143,582,283.72,299.36,84.74,184.98,29.49,0.13,0.07,0,165,209009,208
Breast-Cancer,683,9,2,0.9706,5,3.89,1.67,0.57,0.68,0.19,0.22,0.10,0,0,2836,265
Cleve,303,13,2,0.8257,14,8.00,6.81,3.81,2.47,0.39,0.13,0.08,0,0,16274,276
Crx,690,15,2,0.8612,40,21.62,18.76,7.81,9.32,1.36,0.26,0.22,0,52,30762,557
Diabetes,768,8,2,0.7344,2,2.17,0.84,0.29,0.22,0.08,0.25,0.06,0,0,1585,213
German,1000,20,2,0.7290,139,92.31,47.07,24.86,18.70,3.09,0.40,0.30,0,145,89483,951
Glass,214,9,6,0.6995,2,1.79,0.90,0.35,0.41,0.08,0.07,0.04,0,0,2021,121
Heart,270,13,2,0.8074,14,8.10,6.25,3.49,2.28,0.38,0.09,0.08,0,0,15134,249
Hepatitis,155,19,2,0.8331,48,33.34,15.69,8.70,6.29,0.62,0.08,0.05,0,40,38172,122
Horse,368,22,2,0.8234,165,81.92,83.86,33.29,44.54,5.88,0.13,0.04,0,83,129386,397
Hypo,3163,25,2,0.9795,115,58.90,56.53,31.43,18.54,5.03,1.52,0.03,1,85,86450,176
Iono,351,34,2,0.9257,399,156.25,243.37,54.87,164.49,22.95,1.05,0.03,0,181,129736,196
Iris,150,4,3,0.9267,0,0.13,0.08,0.02,0.03,0.01,0.03,0.01,0,0,90,30
Labor,57,16,2,0.9167,20,16.19,5.16,3.32,1.55,0.26,0.03,0.01,0,20,24003,49
Led7,3200,7,10,0.7217,3,2.91,0.99,0.11,0.07,0.10,0.71,0.02,0,0,243,112
Lymphography,148,18,4,0.8344,99,70.88,28.94,16.05,11.28,1.55,0.06,0.02,0,33,65800,149
Pima,768,8,2,0.7344,2,2.00,0.66,0.26,0.22,0.05,0.13,0.02,0,0,1585,213
Sick,2800,29,2,0.9679,159,93.78,66.26,28.58,31.33,5.31,1.02,0.04,0,164,85874,279
Sonar,208,60,2,0.8080,1140,832.12,308.80,50.12,246.52,12.00,0.15,0.02,0,201,160000,172
Tic-Tac-Toe,958,9,2,0.9916,9,7.46,2.73,1.47,0.88,0.22,0.15,0.01,0,0,7047,182
Vehicle,846,18,4,0.6822,61,28.41,33.29,10.52,19.11,3.42,0.23,0.03,0,65,36922,477
Waveform,5000,21,3,0.8162,1374,1183.46,191.29,52.12,124.66,12.68,1.82,0.18,7,406,75473,2650
Wine,178,13,3,0.9667,25,14.58,11.55,4.95,6.36,0.19,0.04,0.01,0,20,16933,54
Zoo,101,16,7,0.9652,21,12.74,9.53,3.24,5.36,0.88,0.03,0.01,0,16,13758,35
