dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,4098,3517.00,580.58,437.17,0.01,142.79,0.40,0.27,0,261,156588,92
Australian,690,14,2,0.8666,220,120.06,100.93,89.51,0.00,11.36,0.04,0.18,0,60,18745,458
Auto,205,25,6,0.8143,644,472.43,172.15,133.51,0.00,38.59,0.02,0.09,0,178,209009,209
Breast-Cancer,683,9,2,0.9706,25,9.00,16.67,5.83,9.40,1.39,0.03,0.10,0,4,2836,265
Cleve,303,13,2,0.8257,83,37.74,46.13,28.18,16.74,1.18,0.02,0.09,0,32,16274,276
Crx,690,15,2,0.8598,252,142.96,109.95,98.84,0.00,11.06,0.04,0.17,0,57,30762,558
Diabetes,768,8,2,0.7344,13,6.31,7.79,6.28,0.45,1.01,0.04,0.08,0,0,1585,213
German,1000,20,2,0.7290,1165,750.61,414.51,395.68,0.00,18.76,0.05,0.32,0,178,89483,984
Glass,214,9,6,0.6995,7,4.06,4.22,1.71,2.12,0.36,0.02,0.06,0,0,2021,121
Heart,270,13,2,0.8074,100,46.70,54.38,29.14,23.72,1.46,0.02,0.12,0,32,15134,249
Hepatitis,155,19,2,0.8331,150,106.94,44.06,42.31,0.00,1.71,0.02,0.08,0,48,38172,122
Horse,368,22,2,0.8071,689,470.31,218.81,202.63,0.00,16.14,0.03,0.07,0,177,129386,399
Hypo,3163,25,2,0.9795,2854,1633.61,1220.99,1143.83,0.00,76.96,0.18,0.03,1,180,86450,177
Iono,351,34,2,0.9200,1023,827.81,195.93,155.23,0.00,40.66,0.03,0.06,0,180,129736,195
Iris,150,4,3,0.9267,0,0.17,0.11,0.05,0.03,0.02,0.01,0.01,0,0,90,30
Labor,57,16,2,0.9167,49,19.79,29.71,7.16,22.38,0.15,0.01,0.01,0,24,24003,49
Led7,3200,7,10,0.7217,23,16.37,6.88,4.84,0.08,1.85,0.11,0.02,0,4,243,112
Lymphography,148,18,4,0.8344,157,103.10,54.29,52.00,0.00,2.26,0.02,0.02,0,71,65800,149
Pima,768,8,2,0.7344,12,5.75,6.59,5.24,0.42,0.90,0.02,0.02,0,0,1585,213
Sick,2800,29,2,0.9654,3304,2533.83,771.50,640.07,0.00,131.25,0.17,0.04,0,259,85874,146
Sonar,208,60,2,0.7844,2717,2557.70,160.51,128.83,0.00,31.65,0.03,0.01,0,275,160000,134
Tic-Tac-Toe,958,9,2,0.9916,72,46.13,26.23,19.47,5.34,1.36,0.05,0.02,0,24,7047,182
Vehicle,846,18,4,0.6822,463,280.14,183.31,156.52,0.00,26.72,0.05,0.05,0,124,36922,478
Waveform,5000,21,3,0.8164,5107,3323.44,1783.96,1606.18,0.00,177.53,0.24,0.18,7,188,75473,2658
Wine,178,13,3,0.9667,43,29.26,14.10,13.75,0.00,0.31,0.02,0.01,0,28,16933,54
Zoo,101,16,7,0.9652,32,22.80,9.90,8.63,0.00,1.21,0.01,0.01,0,20,13758,35
