dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9767,3255,2605.94,648.65,47.28,581.93,17.35,1.91,0.18,0,266,156588,92
Australian,690,14,2,0.8695,109,97.70,12.04,4.72,6.21,0.88,0.22,0.11,0,64,18745,456
Auto,205,25,6,0.8141,877,352.16,525.67,50.04,459.52,15.98,0.11,0.07,0,192,209009,208
Breast-Cancer,683,9,2,0.9692,8,7.88,1.31,0.42,0.56,0.14,0.18,0.07,0,0,2836,265
Cleve,303,13,2,0.8290,35,30.17,6.03,2.58,2.92,0.40,0.11,0.07,0,32,16274,276
Crx,690,15,2,0.8583,134,113.70,21.09,5.89,13.88,1.09,0.21,0.13,0,61,30762,559
Diabetes,768,8,2,0.7344,6,6.21,0.66,0.22,0.20,0.05,0.19,0.06,0,0,1585,213
German,1000,20,2,0.7280,665,616.89,48.56,20.70,24.83,2.61,0.39,0.23,0,177,89483,981
Glass,214,9,6,0.6995,3,2.91,0.77,0.28,0.37,0.06,0.05,0.04,0,0,2021,121
Heart,270,13,2,0.8074,30,26.50,4.84,1.97,2.59,0.20,0.08,0.07,0,32,15134,250
Hepatitis,155,19,2,0.8272,75,60.36,15.88,5.40,10.02,0.39,0.06,0.05,0,33,38172,123
Horse,368,22,2,0.8071,444,329.10,115.74,20.89,90.88,3.08,0.89,0.03,0,176,129386,394
Hypo,3163,25,2,0.9795,1335,1265.31,70.87,19.49,46.85,3.53,0.98,0.02,0,179,86450,176
Iono,351,34,2,0.9060,1152,726.06,426.70,32.05,385.37,9.04,0.23,0.04,0,178,129736,194
Iris,150,4,3,0.9267,0,0.20,0.09,0.02,0.03,0.01,0.03,0.01,0,0,90,30
Labor,57,16,2,0.9333,21,16.33,5.81,2.94,2.63,0.21,0.03,0.01,0,0,24003,49
Led7,3200,7,10,0.7120,16,16.15,0.68,0.06,0.06,0.10,0.45,0.01,0,0,242,111
Lymphography,148,18,4,0.8349,115,84.79,30.70,9.76,20.02,0.86,0.06,0.02,0,75,65800,147
Pima,768,8,2,0.7344,5,5.88,0.55,0.21,0.20,0.05,0.08,0.02,0,0,1585,213
Sick,2800,29,2,0.9654,2207,2175.96,31.57,14.66,14.05,2.07,0.79,0.03,0,243,85874,146
Sonar,208,60,2,0.7796,2979,2092.02,887.43,33.96,842.72,10.62,0.12,0.02,0,314,160000,134
Tic-Tac-Toe,958,9,2,0.9916,38,36.79,2.23,1.07,0.86,0.19,0.12,0.01,0,24,7047,182
Vehicle,846,18,4,0.6810,273,229.44,44.56,8.81,32.87,2.69,0.18,0.02,0,122,36922,478
Waveform,5000,21,3,0.8162,2782,2585.65,196.48,34.90,148.45,11.84,1.28,0.11,10,188,75473,2651
Wine,178,13,3,0.9667,32,21.33,11.82,2.79,8.88,0.12,0.03,0.01,0,28,16933,54
Zoo,101,16,7,0.9652,25,16.37,9.87,2.49,6.88,0.40,0.10,0.01,0,20,13758,35
