dataset,instances,attrs,classes,accuracy,trainMs,mineMs,pruneMs,chiSqMs,g2sMs,covMs,bmapMs,indexMs,predictMs,peakMemMB,rulesMined,rulesPruned
Anneal,898,38,6,0.9822,1624,929.73,693.28,117.73,491.12,79.72,4.34,0.52,2,227,156588,159
Australian,690,14,2,0.8681,133,102.82,31.14,13.19,14.85,2.58,0.48,0.08,1,56,18745,456
Auto,205,25,6,0.8143,1500,845.10,655.01,143.81,472.76,38.09,0.30,0.50,0,102,209009,208
Breast-Cancer,683,9,2,0.9706,19,14.19,5.84,1.86,2.88,0.64,0.43,0.07,0,24,2836,265
Cleve,303,13,2,0.8257,61,44.57,16.95,8.20,7.80,0.64,0.26,0.06,0,30,16274,276
Crx,690,15,2,0.8612,131,83.33,48.71,19.60,24.87,3.45,0.73,0.09,1,56,30762,557
Diabetes,768,8,2,0.7344,9,7.66,2.36,0.78,0.90,0.18,0.47,0.05,0,0,1585,213
German,1000,20,2,0.7290,473,353.10,120.47,62.18,51.11,6.14,1.02,0.19,3,167,89483,951
Glass,214,9,6,0.6995,9,6.55,3.25,1.05,1.82,0.20,0.17,0.09,0,0,2021,121
Heart,270,13,2,0.8074,49,36.80,13.36,6.09,6.48,0.53,0.24,0.05,0,30,15134,249
Hepatitis,155,19,2,0.8331,146,108.24,38.84,18.56,19.10,0.94,0.22,0.06,0,40,38172,122
Horse,368,22,2,0.8234,539,304.06,235.54,89.88,130.17,14.93,0.54,0.09,0,86,129386,397
Hypo,3163,25,2,0.9795,364,212.49,152.22,83.10,54.86,9.77,4.46,0.06,6,118,86450,176
Iono,351,34,2,0.9257,1094,518.77,575.85,91.30,457.22,26.71,0.58,0.09,0,138,129736,196
Iris,150,4,3,0.9267,0,0.66,0.38,0.08,0.14,0.03,0.12,0.03,0,0,90,30
Labor,57,16,2,0.9167,83,67.34,15.97,9.92,5.36,0.56,0.11,0.04,0,18,24003,49
Led7,3200,7,10,0.7120,12,9.58,3.25,0.32,0.40,0.43,2.08,0.03,0,0,242,111
Lymphography,148,18,4,0.8344,270,211.18,59.54,27.26,30.14,1.94,0.17,0.05,0,50,65800,149
Pima,768,8,2,0.7344,9,7.32,2.60,1.01,0.99,0.20,0.37,0.05,0,0,1585,213
Sick,2800,29,2,0.9679,547,377.62,169.45,73.80,77.48,15.14,3.00,0.08,4,202,85874,279
Sonar,208,60,2,0.8080,3432,2682.05,750.60,99.49,633.54,17.07,0.48,0.08,0,214,160000,172
Tic-Tac-Toe,958,9,2,0.9916,61,51.98,9.60,4.93,3.50,0.66,0.48,0.06,0,32,7047,182
Vehicle,846,18,4,0.6822,215,118.11,97.83,28.68,60.07,8.34,0.71,0.08,1,55,36922,477
Waveform,5000,21,3,0.8162,2483,2069.89,412.52,84.31,297.93,26.58,3.65,0.51,28,370,75473,2650
Wine,178,13,3,0.9667,89,52.61,36.96,14.93,21.39,0.47,0.15,0.04,0,18,16933,54
Zoo,101,16,7,0.9652,69,43.03,26.39,8.07,16.39,1.82,0.09,0.05,0,16,13758,35
